"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"prazer",-0.00725126665758525,0.0045084097087485,-0.00339104276754207,0.00135385857874852,-0.00032395882419236,0.00232684085198577,-0.00515418771118333,0.00615856599616772,-0.0113532188823613,0.00473309664453194
"sombra",-0.00725126665758716,0.00450840970874806,-0.00339104276754294,0.00135385857874841,-0.000323958824192411,0.00232684085198601,-0.00515418771118331,0.00615856599616751,-0.0113532188823609,0.00473309664453188
"atrás",-0.0112489181594394,0.00723703428709851,-0.00755693697729044,0.00153795160954003,-0.00166011355671517,0.00449358453235366,-0.00742141089992482,0.00887109286528029,-0.0175532038252826,0.00734835141898943
"corre",-0.011248918159439,0.00723703428709925,-0.00755693697729077,0.00153795160954067,-0.00166011355671532,0.00449358453235304,-0.00742141089992433,0.0088710928652818,-0.0175532038252855,0.00734835141899194
"dessa",-0.0112489181594406,0.00723703428709954,-0.00755693697728868,0.00153795160954046,-0.00166011355671546,0.00449358453235305,-0.00742141089992421,0.00887109286528073,-0.0175532038252839,0.00734835141899021
"disso",-0.0112489181594406,0.00723703428710082,-0.00755693697728815,0.00153795160954205,-0.00166011355671612,0.00449358453235355,-0.00742141089992343,0.00887109286528123,-0.017553203825283,0.00734835141899023
"insistindo",-0.0112489181594406,0.00723703428709965,-0.00755693697728865,0.00153795160954149,-0.00166011355671451,0.00449358453235443,-0.00742141089992581,0.00887109286528094,-0.017553203825284,0.00734835141899043
"maioria",-0.0112489181594407,0.00723703428710082,-0.00755693697728929,0.00153795160954156,-0.00166011355671446,0.00449358453235291,-0.00742141089992378,0.0088710928652796,-0.0175532038252822,0.0073483514189901
"nós",-0.0112489181594407,0.00723703428709999,-0.00755693697728866,0.0015379516095416,-0.00166011355671471,0.00449358453235259,-0.0074214108999241,0.00887109286528062,-0.017553203825283,0.0073483514189905
"repeti-la",-0.0112489181594407,0.00723703428709979,-0.00755693697728876,0.0015379516095417,-0.00166011355671555,0.00449358453235243,-0.00742141089992418,0.00887109286528101,-0.017553203825283,0.00734835141899074
"saibamos",-0.0112489181594407,0.00723703428710049,-0.00755693697728832,0.00153795160953979,-0.00166011355671525,0.00449358453235194,-0.00742141089992243,0.0088710928652807,-0.0175532038252846,0.00734835141899101
"todo",-0.0112489181594407,0.00723703428710082,-0.00755693697728688,0.00153795160953846,-0.00166011355671471,0.00449358453235169,-0.00742141089992331,0.00887109286528265,-0.0175532038252851,0.0073483514189908
"vivência",-0.0112489181594407,0.00723703428709979,-0.0075569369772886,0.00153795160954073,-0.0016601135567159,0.00449358453235281,-0.00742141089992391,0.00887109286528165,-0.0175532038252836,0.00734835141899007
"desagradável",-0.0115717456692634,0.00741878459034177,-0.00764894636875074,0.00159376001785326,-0.00163902024974979,0.00458462898007875,-0.00761953011290131,0.00913287635347811,-0.0179875176670265,0.00750753853961419
"efeito",-0.0115717456692634,0.00741878459034166,-0.0076489463687508,0.00159376001785314,-0.00163902024975002,0.004584628980078,-0.00761953011290201,0.00913287635347717,-0.0179875176670275,0.00750753853961389
"efêmero",-0.0115717456692634,0.00741878459034193,-0.00764894636874983,0.00159376001785552,-0.00163902024974955,0.00458462898008005,-0.00761953011290234,0.00913287635347846,-0.0179875176670261,0.00750753853961394
"estéticos",-0.0115717456692634,0.00741878459034163,-0.00764894636875132,0.00159376001785239,-0.00163902024974886,0.00458462898007886,-0.0076195301129006,0.00913287635347793,-0.017987517667028,0.00750753853961365
"estímulos",-0.0115717456692634,0.00741878459034172,-0.00764894636875081,0.001593760017854,-0.00163902024974948,0.0045846289800788,-0.00761953011290114,0.00913287635347762,-0.0179875176670271,0.00750753853961435
"hindu",-0.0115717456692634,0.00741878459034163,-0.00764894636875139,0.00159376001785022,-0.0016390202497511,0.00458462898007843,-0.00761953011290301,0.00913287635347906,-0.0179875176670259,0.00750753853961364
"intelectuais",-0.0115717456692634,0.00741878459034176,-0.00764894636875037,0.00159376001785699,-0.00163902024975038,0.00458462898007742,-0.00761953011289929,0.00913287635347768,-0.017987517667028,0.00750753853961424
"intrinsecamente",-0.0115717456692634,0.00741878459034171,-0.00764894636875081,0.00159376001785405,-0.00163902024975114,0.00458462898007779,-0.00761953011290115,0.00913287635347894,-0.0179875176670264,0.0075075385396134
"neutra",-0.0115717456692634,0.0074187845903417,-0.00764894636875083,0.00159376001785372,-0.00163902024975107,0.004584628980078,-0.00761953011290092,0.00913287635347883,-0.0179875176670267,0.00750753853961345
"provérbio",-0.0115717456692634,0.0074187845903417,-0.00764894636875086,0.00159376001785352,-0.00163902024975138,0.00458462898007828,-0.00761953011290128,0.00913287635347779,-0.0179875176670271,0.00750753853961392
