"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"prazer",-0.00725126665758525,0.0045084097087485,-0.00339104276754207,0.00135385857874852,-0.00032395882419236,0.00232684085198577,-0.00515418771118333,0.00615856599616772,-0.0113532188823613,0.00473309664453194,-0.00409318241506803,0.00561676904923699,-0.00206043215718093,0.00140959534231515,-0.0121870578986145,0.00764232449485905,-0.00912256772347177,0.0103752879417188,-0.0189276958437641,0.020340434146209,-0.017251057092186,0.0130822796148467,-0.0020126777529059,-0.0653701626012519,0.00612169908522003,0.0227335330576097,-0.0105084042375335,0.0202272982462668,0.00242226671334404,-0.0201519415599891,-0.0316805764789092,0.028112152618552,-0.0151227569271631,-0.0228720585864413,0.0247156828311081,0.0265372957748731,-0.00930815543715004,0.00462198908607577,-0.00572290573923918,0.0105177590946423,-0.0160891248956232,0.000265469488631565,5.51946636785299e-05,-0.0120973632244188,0.00242672626699403,-0.00422435920244413,0.0031519388123473,-0.00879959045598009,0.00246154049023132,-0.00427798233913966,0.630520882786282,-0.0235075384026196,0.00157502190152059,0.00106559177126323,-0.0122563469379879,0.024742382328272,-0.000329546579480378,-0.0110320390628932,0.0129915583004159,0.00928191330695604,0.00570962064486673,0.136642340440908,-0.134211585090391,-0.000381863352212562,0.0140358964113145,0.0198000245710012,0.0176696725013721,0.00501579074932618,0.00306133664989971,0.00166154515134551,0.00731808113794216,0.0172374630208881,0.0716274007224211,-0.163415810133543,-0.0102345902902617,0.0065064749290249,-0.0214156348958079,0.00726998247848657,-0.00306653911508949,0.000433764545210377,-0.00248703041007745,0.00660944484555929,-0.0106820657635218,0.00201434222762956,-0.00671223730232245,0.000833124585313714,-0.00746656889051021,0.00470151617046629,-0.00251224771755004,0.00103085303118947,-0.00201707134056734,-0.00432443330567731,0.00263765265206462,0.00152490893642776,-0.00325235742312565,0.00130880716147085,0.00125822451460053,-0.000817505842858909,0.00193336553501162,-0.000358409841710075
"sombra",-0.00725126665758716,0.00450840970874806,-0.00339104276754294,0.00135385857874841,-0.000323958824192411,0.00232684085198601,-0.00515418771118331,0.00615856599616751,-0.0113532188823609,0.00473309664453188,-0.00409318241506815,0.00561676904923675,-0.00206043215718096,0.00140959534231516,-0.0121870578986142,0.00764232449485895,-0.00912256772347159,0.0103752879417187,-0.0189276958437635,0.0203404341462083,-0.0172510570921854,0.0130822796148464,-0.00201267775290602,-0.0653701626012498,0.0061216990852198,0.0227335330576087,-0.010508404237533,0.0202272982462661,0.00242226671334397,-0.0201519415599885,-0.0316805764789084,0.028112152618551,-0.0151227569271627,-0.0228720585864404,0.0247156828311071,0.0265372957748722,-0.0093081554371498,0.00462198908607584,-0.00572290573923892,0.0105177590946418,-0.0160891248956223,0.000265469488631567,5.51946636785361e-05,-0.0120973632244185,0.00242672626699412,-0.00422435920244413,0.00315193881234706,-0.00879959045598006,0.00246154049023135,-0.00427798233913972,0.630520882786305,-0.0235075384026226,0.00157502190152047,0.0010655917712632,-0.0122563469379893,0.0247423823282743,-0.000329546579480444,-0.0110320390628943,0.0129915583004164,0.0092819133069562,0.00570962064486712,0.136642340440911,-0.134211585090392,-0.00038186335221231,0.0140358964113148,0.019800024571002,0.0176696725013723,0.00501579074932599,0.00306133664989956,0.00166154515134565,0.00731808113794205,0.0172374630208892,0.0716274007224254,-0.163415810133553,-0.0102345902902622,0.00650647492902588,-0.0214156348958093,0.00726998247848717,-0.00306653911508982,0.000433764545210443,-0.00248703041007756,0.00660944484555966,-0.0106820657635229,0.00201434222762976,-0.00671223730232311,0.000833124585313949,-0.00746656889051074,0.00470151617046686,-0.0025122477175504,0.0010308530311896,-0.00201707134056785,-0.00432443330567716,0.00263765265206463,0.00152490893642801,-0.00325235742312584,0.00130880716147092,0.00125822451460051,-0.000817505842858843,0.00193336553501171,-0.000358409841709936
"atrás",-0.0112489181594394,0.00723703428709851,-0.00755693697729044,0.00153795160954003,-0.00166011355671517,0.00449358453235366,-0.00742141089992482,0.00887109286528029,-0.0175532038252826,0.00734835141898943,-0.00604765364498521,0.00794514157939283,-0.00303229396068026,0.00259736670481129,-0.018142624708302,0.0112796413850937,-0.0136044533850789,0.0157782545694116,-0.0285248906461829,0.0303695100115643,-0.0260206284965968,0.0194832976594329,-0.0031113837298479,-0.0985637019200869,0.00939413502687209,0.0340866224775906,-0.0159235082638899,0.0308500722956868,0.0035993337344898,-0.0305561097208629,-0.0480405620254761,0.0424828133085269,-0.0229220491347504,-0.034451062241216,0.0373632418073242,0.0401185237678452,-0.0138672985847097,0.00686143295546572,-0.0085446661875495,0.0160536696587094,-0.0242249642367215,0.000544241818432895,0.000180481295281905,-0.018258891994032,0.00378484155018982,-0.00627378018084527,0.00471348266069918,-0.0133880715345958,0.00369941928873796,-0.00613868846244938,-0.104567898612681,0.00104755379052282,-0.00230709921095985,0.000633486962699098,0.00338797001691936,0.00181721270749903,0.001541721803268,0.0054243029550257,0.00906537202812747,0.0114500708774003,-0.000336427766739168,0.123786143073253,-0.162282178919581,-0.00227415294016078,0.0160886689441091,0.0110315473502449,0.0173735038668037,0.00769560886747555,0.00680336016054689,0.00141431038422645,0.00823764879157722,0.0052526077880817,0.020232031073181,-0.0332876275714948,-0.00152495049505698,-0.00652879445175395,-0.00616243793916325,-0.00167992595124269,-0.000257789968031665,-0.000119447847123107,-0.000188266697275323,0.000250460194916168,-0.000122592376854501,-0.000882915172422473,-0.00115250192858092,-0.00291330239620044,0.0025817017522657,0.000574534693768649,0.0012770364946357,-0.000420264768301219,0.0014617580197842,-0.00499949179608263,0.00188548406339446,0.00094520953878243,0.00181846851410902,0.000671797018173041,-0.000359937400536979,-0.00403147261943653,-0.000348641621315689,-0.000574701907595859
"corre",-0.011248918159439,0.00723703428709925,-0.00755693697729077,0.00153795160954067,-0.00166011355671532,0.00449358453235304,-0.00742141089992433,0.0088710928652818,-0.0175532038252855,0.00734835141899194,-0.00604765364498821,0.00794514157939401,-0.00303229396067851,0.00259736670480993,-0.0181426247083032,0.0112796413850941,-0.0136044533850806,0.0157782545694121,-0.0285248906461836,0.0303695100115654,-0.0260206284965983,0.0194832976594338,-0.00311138372984732,-0.0985637019200859,0.009394135026872,0.0340866224775901,-0.0159235082638893,0.0308500722956863,0.0035993337344897,-0.0305561097208629,-0.0480405620254746,0.0424828133085258,-0.0229220491347498,-0.0344510622412136,0.0373632418073244,0.040118523767845,-0.0138672985847101,0.00686143295546625,-0.00854466618754916,0.0160536696587099,-0.0242249642367212,0.000544241818432323,0.000180481295281843,-0.0182588919940305,0.00378484155019072,-0.00627378018084535,0.00471348266069915,-0.0133880715345956,0.00369941928873933,-0.00613868846244795,-0.104567898612681,0.00104755379053338,-0.0023070992109611,0.000633486962698209,0.00338797001692299,0.00181721270750243,0.00154172180326773,0.0054243029550265,0.00906537202812202,0.0114500708773989,-0.000336427766739933,0.123786143073266,-0.162282178919598,-0.00227415294016183,0.0160886689441104,0.0110315473502451,0.0173735038668054,0.00769560886747599,0.00680336016054754,0.00141431038422721,0.00823764879157792,0.00525260778808268,0.0202320310731833,-0.0332876275714889,-0.00152495049505589,-0.00652879445175584,-0.00616243793916037,-0.0016799259512444,-0.00025778996803123,-0.00011944784712313,-0.000188266697274719,0.0002504601949119,-0.000122592376844551,-0.000882915172423664,-0.00115250192857335,-0.00291330239620161,0.00258170175227333,0.000574534693763745,0.00127703649463801,-0.000420264768302441,0.00146175801978576,-0.00499949179608096,0.00188548406339346,0.000945209538781819,0.00181846851410952,0.000671797018172549,-0.000359937400536406,-0.00403147261943674,-0.000348641621314678,-0.000574701907596489
"dessa",-0.0112489181594406,0.00723703428709954,-0.00755693697728868,0.00153795160954046,-0.00166011355671546,0.00449358453235305,-0.00742141089992421,0.00887109286528073,-0.0175532038252839,0.00734835141899021,-0.00604765364498694,0.00794514157939299,-0.00303229396067817,0.00259736670480924,-0.018142624708302,0.0112796413850941,-0.0136044533850806,0.0157782545694124,-0.0285248906461832,0.0303695100115642,-0.026020628496597,0.0194832976594337,-0.00311138372984842,-0.0985637019200856,0.00939413502687196,0.0340866224775902,-0.0159235082638893,0.0308500722956873,0.00359933373449017,-0.030556109720863,-0.0480405620254751,0.0424828133085269,-0.0229220491347505,-0.0344510622412164,0.0373632418073246,0.0401185237678441,-0.0138672985847098,0.00686143295546667,-0.00854466618754914,0.0160536696587105,-0.0242249642367217,0.000544241818433119,0.000180481295282323,-0.0182588919940314,0.00378484155018993,-0.00627378018084566,0.00471348266069908,-0.0133880715345966,0.00369941928873871,-0.00613868846244937,-0.104567898612679,0.00104755379054335,-0.00230709921096278,0.00063348696269804,0.00338797001692655,0.00181721270749135,0.0015417218032686,0.00542430295502246,0.00906537202812708,0.0114500708773987,-0.000336427766739717,0.12378614307326,-0.162282178919594,-0.00227415294016215,0.0160886689441101,0.0110315473502458,0.0173735038668083,0.00769560886747695,0.00680336016054753,0.0014143103842271,0.00823764879157719,0.00525260778808242,0.0202320310731804,-0.0332876275714771,-0.00152495049505137,-0.00652879445175876,-0.00616243793914589,-0.00167992595125001,-0.000257789968028586,-0.000119447847123731,-0.000188266697272548,0.000250460194909864,-0.00012259237684823,-0.000882915172422952,-0.00115250192857643,-0.00291330239620039,0.00258170175226854,0.000574534693766366,0.001277036494637,-0.000420264768302385,0.00146175801978477,-0.00499949179607973,0.00188548406339268,0.000945209538781404,0.00181846851411086,0.000671797018172193,-0.000359937400537717,-0.00403147261943608,-0.000348641621316219,-0.000574701907596228
"disso",-0.0112489181594406,0.00723703428710082,-0.00755693697728815,0.00153795160954205,-0.00166011355671612,0.00449358453235355,-0.00742141089992343,0.00887109286528123,-0.017553203825283,0.00734835141899023,-0.00604765364498641,0.007945141579392,-0.00303229396067829,0.00259736670481053,-0.0181426247083015,0.0112796413850956,-0.0136044533850819,0.0157782545694129,-0.0285248906461834,0.030369510011564,-0.0260206284965974,0.0194832976594327,-0.00311138372984806,-0.0985637019200845,0.00939413502687209,0.0340866224775902,-0.0159235082638899,0.0308500722956876,0.00359933373449025,-0.0305561097208641,-0.0480405620254768,0.0424828133085276,-0.0229220491347507,-0.034451062241216,0.0373632418073241,0.0401185237678441,-0.013867298584709,0.00686143295546554,-0.00854466618754854,0.0160536696587099,-0.0242249642367213,0.000544241818431945,0.000180481295282082,-0.018258891994032,0.0037848415501898,-0.0062737801808463,0.00471348266069982,-0.013388071534597,0.00369941928873994,-0.00613868846245008,-0.104567898612681,0.00104755379054326,-0.00230709921096511,0.000633486962697886,0.00338797001692222,0.0018172127074924,0.00154172180326845,0.00542430295502757,0.00906537202812811,0.0114500708774013,-0.00033642776673954,0.123786143073272,-0.162282178919606,-0.00227415294016176,0.0160886689441119,0.0110315473502495,0.0173735038668102,0.00769560886747774,0.00680336016054718,0.00141431038422732,0.00823764879157746,0.00525260778808326,0.0202320310731879,-0.0332876275714826,-0.00152495049505324,-0.00652879445175657,-0.00616243793915355,-0.00167992595124733,-0.000257789968030768,-0.000119447847122806,-0.000188266697273321,0.000250460194911491,-0.000122592376846943,-0.000882915172423852,-0.0011525019285746,-0.00291330239620076,0.00258170175227242,0.000574534693764353,0.00127703649463859,-0.000420264768301828,0.00146175801978556,-0.00499949179607815,0.00188548406339158,0.00094520953878166,0.00181846851411198,0.000671797018172289,-0.000359937400537966,-0.00403147261943546,-0.000348641621317017,-0.000574701907595899
"insistindo",-0.0112489181594406,0.00723703428709965,-0.00755693697728865,0.00153795160954149,-0.00166011355671451,0.00449358453235443,-0.00742141089992581,0.00887109286528094,-0.017553203825284,0.00734835141899043,-0.00604765364498638,0.0079451415793914,-0.00303229396067831,0.00259736670481061,-0.0181426247082991,0.0112796413850935,-0.0136044533850782,0.0157782545694111,-0.0285248906461817,0.0303695100115622,-0.0260206284965959,0.0194832976594338,-0.00311138372984837,-0.0985637019200881,0.00939413502687253,0.0340866224775903,-0.0159235082638894,0.030850072295688,0.00359933373449042,-0.0305561097208639,-0.0480405620254775,0.0424828133085276,-0.0229220491347502,-0.0344510622412138,0.0373632418073234,0.0401185237678445,-0.0138672985847078,0.0068614329554659,-0.00854466618754854,0.0160536696587078,-0.0242249642367212,0.000544241818434357,0.000180481295282754,-0.0182588919940306,0.00378484155018985,-0.00627378018084578,0.00471348266069858,-0.0133880715345961,0.00369941928873907,-0.0061386884624518,-0.104567898612677,0.00104755379054943,-0.00230709921096054,0.000633486962694123,0.00338797001693421,0.00181721270747943,0.00154172180326887,0.0054243029550286,0.00906537202812435,0.0114500708773953,-0.00033642776674027,0.123786143073238,-0.162282178919575,-0.00227415294016196,0.0160886689441087,0.0110315473502443,0.0173735038668064,0.00769560886747482,0.00680336016054616,0.00141431038422683,0.00823764879157565,0.00525260778808293,0.0202320310731831,-0.0332876275715005,-0.00152495049505321,-0.00652879445175525,-0.00616243793915268,-0.00167992595124637,-0.000257789968029398,-0.000119447847123648,-0.000188266697273953,0.000250460194910273,-0.000122592376847813,-0.000882915172422858,-0.00115250192857606,-0.00291330239620033,0.0025817017522686,0.000574534693767159,0.00127703649463525,-0.000420264768301703,0.00146175801978335,-0.00499949179607981,0.00188548406339308,0.00094520953878218,0.00181846851410983,0.000671797018173067,-0.000359937400536037,-0.00403147261943611,-0.000348641621314558,-0.000574701907597461
"maioria",-0.0112489181594407,0.00723703428710082,-0.00755693697728929,0.00153795160954156,-0.00166011355671446,0.00449358453235291,-0.00742141089992378,0.0088710928652796,-0.0175532038252822,0.0073483514189901,-0.00604765364498661,0.00794514157939095,-0.00303229396067856,0.00259736670481047,-0.0181426247083018,0.011279641385096,-0.0136044533850807,0.0157782545694131,-0.0285248906461851,0.0303695100115644,-0.0260206284965966,0.0194832976594331,-0.00311138372984841,-0.0985637019200865,0.00939413502687263,0.0340866224775901,-0.0159235082638887,0.030850072295687,0.00359933373449097,-0.0305561097208637,-0.048040562025476,0.0424828133085263,-0.022922049134749,-0.0344510622412145,0.0373632418073229,0.0401185237678446,-0.013867298584709,0.00686143295546699,-0.00854466618754912,0.0160536696587088,-0.0242249642367238,0.000544241818432267,0.000180481295282331,-0.0182588919940321,0.00378484155019037,-0.00627378018084589,0.00471348266070032,-0.0133880715345976,0.00369941928874021,-0.0061386884624503,-0.10456789861268,0.00104755379055167,-0.00230709921096637,0.000633486962690086,0.00338797001693258,0.00181721270748082,0.0015417218032694,0.00542430295503002,0.00906537202813045,0.0114500708773988,-0.00033642776674114,0.123786143073265,-0.162282178919604,-0.00227415294016278,0.0160886689441102,0.0110315473502452,0.0173735038668085,0.00769560886747629,0.0068033601605475,0.00141431038422711,0.00823764879157592,0.00525260778808227,0.0202320310731822,-0.0332876275714822,-0.00152495049505032,-0.00652879445175945,-0.00616243793914633,-0.00167992595125041,-0.000257789968030326,-0.000119447847123198,-0.000188266697276055,0.00025046019491062,-0.000122592376851673,-0.000882915172422772,-0.00115250192857597,-0.00291330239620054,0.00258170175226975,0.000574534693766528,0.00127703649463647,-0.000420264768301658,0.0014617580197845,-0.00499949179608144,0.0018854840633939,0.000945209538783041,0.00181846851410816,0.000671797018173315,-0.000359937400535917,-0.00403147261943786,-0.000348641621312696,-0.000574701907596111
"nós",-0.0112489181594407,0.00723703428709999,-0.00755693697728866,0.0015379516095416,-0.00166011355671471,0.00449358453235259,-0.0074214108999241,0.00887109286528062,-0.017553203825283,0.0073483514189905,-0.00604765364498702,0.00794514157939185,-0.00303229396067829,0.00259736670481067,-0.0181426247083027,0.0112796413850942,-0.0136044533850822,0.0157782545694127,-0.0285248906461844,0.0303695100115641,-0.0260206284965965,0.0194832976594321,-0.00311138372984791,-0.0985637019200855,0.00939413502687254,0.0340866224775894,-0.0159235082638892,0.0308500722956882,0.00359933373448924,-0.0305561097208645,-0.0480405620254758,0.0424828133085269,-0.0229220491347502,-0.0344510622412157,0.0373632418073238,0.040118523767844,-0.0138672985847083,0.00686143295546655,-0.00854466618754925,0.0160536696587111,-0.0242249642367225,0.000544241818433382,0.000180481295283606,-0.0182588919940319,0.00378484155018959,-0.0062737801808463,0.00471348266069956,-0.0133880715345969,0.00369941928874003,-0.00613868846244847,-0.10456789861268,0.00104755379055084,-0.00230709921096002,0.000633486962696046,0.00338797001692638,0.00181721270747896,0.00154172180326942,0.00542430295502963,0.00906537202813434,0.0114500708773999,-0.000336427766739348,0.123786143073272,-0.162282178919606,-0.00227415294016251,0.0160886689441098,0.0110315473502425,0.0173735038668049,0.00769560886747539,0.00680336016054546,0.00141431038422656,0.00823764879157626,0.00525260778808143,0.0202320310731818,-0.0332876275714801,-0.00152495049504879,-0.00652879445175951,-0.00616243793914506,-0.0016799259512499,-0.00025778996803143,-0.000119447847123549,-0.000188266697275678,0.000250460194913222,-0.000122592376847093,-0.000882915172423837,-0.00115250192857076,-0.00291330239620126,0.0025817017522769,0.000574534693762357,0.00127703649463896,-0.00042026476830237,0.00146175801978524,-0.00499949179607914,0.00188548406339211,0.000945209538781816,0.00181846851410871,0.000671797018173711,-0.000359937400535689,-0.00403147261943703,-0.000348641621311609,-0.000574701907595833
"repeti-la",-0.0112489181594407,0.00723703428709979,-0.00755693697728876,0.0015379516095417,-0.00166011355671555,0.00449358453235243,-0.00742141089992418,0.00887109286528101,-0.017553203825283,0.00734835141899074,-0.00604765364498628,0.00794514157939186,-0.00303229396067866,0.00259736670481015,-0.0181426247083022,0.0112796413850953,-0.0136044533850814,0.0157782545694121,-0.0285248906461832,0.0303695100115645,-0.0260206284965963,0.0194832976594326,-0.00311138372984766,-0.0985637019200858,0.00939413502687304,0.0340866224775886,-0.0159235082638887,0.0308500722956881,0.00359933373448972,-0.0305561097208646,-0.0480405620254747,0.0424828133085278,-0.02292204913475,-0.034451062241215,0.0373632418073241,0.0401185237678435,-0.0138672985847101,0.00686143295546674,-0.00854466618754908,0.0160536696587107,-0.0242249642367221,0.0005442418184321,0.000180481295282225,-0.0182588919940316,0.0037848415501901,-0.00627378018084618,0.00471348266069894,-0.0133880715345963,0.00369941928873949,-0.00613868846244925,-0.104567898612678,0.00104755379054053,-0.00230709921096532,0.000633486962696508,0.00338797001692874,0.00181721270748218,0.00154172180326992,0.00542430295503388,0.00906537202812632,0.0114500708773984,-0.000336427766741241,0.123786143073241,-0.162282178919576,-0.00227415294016146,0.0160886689441084,0.0110315473502429,0.0173735038668061,0.00769560886747547,0.00680336016054566,0.00141431038422713,0.00823764879157585,0.00525260778808354,0.020232031073191,-0.0332876275715032,-0.00152495049505438,-0.00652879445175266,-0.00616243793915964,-0.00167992595124341,-0.000257789968033405,-0.000119447847122747,-0.000188266697278732,0.00025046019492039,-0.000122592376856955,-0.00088291517242108,-0.00115250192857724,-0.0029133023962005,0.00258170175227096,0.000574534693765472,0.00127703649463742,-0.00042026476830129,0.001461758019785,-0.00499949179607866,0.00188548406339163,0.000945209538780949,0.0018184685141088,0.000671797018173308,-0.000359937400535856,-0.00403147261943664,-0.000348641621315988,-0.000574701907595981
