"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"prazer",-0.00725126665758525,0.0045084097087485,-0.00339104276754207,0.00135385857874852,-0.00032395882419236,0.00232684085198577,-0.00515418771118333,0.00615856599616772,-0.0113532188823613,0.00473309664453194,-0.00409318241506803,0.00561676904923699,-0.00206043215718093,0.00140959534231515,-0.0121870578986145,0.00764232449485905,-0.00912256772347177,0.0103752879417188,-0.0189276958437641,0.020340434146209
"sombra",-0.00725126665758716,0.00450840970874806,-0.00339104276754294,0.00135385857874841,-0.000323958824192411,0.00232684085198601,-0.00515418771118331,0.00615856599616751,-0.0113532188823609,0.00473309664453188,-0.00409318241506815,0.00561676904923675,-0.00206043215718096,0.00140959534231516,-0.0121870578986142,0.00764232449485895,-0.00912256772347159,0.0103752879417187,-0.0189276958437635,0.0203404341462083
"atrás",-0.0112489181594394,0.00723703428709851,-0.00755693697729044,0.00153795160954003,-0.00166011355671517,0.00449358453235366,-0.00742141089992482,0.00887109286528029,-0.0175532038252826,0.00734835141898943,-0.00604765364498521,0.00794514157939283,-0.00303229396068026,0.00259736670481129,-0.018142624708302,0.0112796413850937,-0.0136044533850789,0.0157782545694116,-0.0285248906461829,0.0303695100115643
"corre",-0.011248918159439,0.00723703428709925,-0.00755693697729077,0.00153795160954067,-0.00166011355671532,0.00449358453235304,-0.00742141089992433,0.0088710928652818,-0.0175532038252855,0.00734835141899194,-0.00604765364498821,0.00794514157939401,-0.00303229396067851,0.00259736670480993,-0.0181426247083032,0.0112796413850941,-0.0136044533850806,0.0157782545694121,-0.0285248906461836,0.0303695100115654
"dessa",-0.0112489181594406,0.00723703428709954,-0.00755693697728868,0.00153795160954046,-0.00166011355671546,0.00449358453235305,-0.00742141089992421,0.00887109286528073,-0.0175532038252839,0.00734835141899021,-0.00604765364498694,0.00794514157939299,-0.00303229396067817,0.00259736670480924,-0.018142624708302,0.0112796413850941,-0.0136044533850806,0.0157782545694124,-0.0285248906461832,0.0303695100115642
"disso",-0.0112489181594406,0.00723703428710082,-0.00755693697728815,0.00153795160954205,-0.00166011355671612,0.00449358453235355,-0.00742141089992343,0.00887109286528123,-0.017553203825283,0.00734835141899023,-0.00604765364498641,0.007945141579392,-0.00303229396067829,0.00259736670481053,-0.0181426247083015,0.0112796413850956,-0.0136044533850819,0.0157782545694129,-0.0285248906461834,0.030369510011564
"insistindo",-0.0112489181594406,0.00723703428709965,-0.00755693697728865,0.00153795160954149,-0.00166011355671451,0.00449358453235443,-0.00742141089992581,0.00887109286528094,-0.017553203825284,0.00734835141899043,-0.00604765364498638,0.0079451415793914,-0.00303229396067831,0.00259736670481061,-0.0181426247082991,0.0112796413850935,-0.0136044533850782,0.0157782545694111,-0.0285248906461817,0.0303695100115622
"maioria",-0.0112489181594407,0.00723703428710082,-0.00755693697728929,0.00153795160954156,-0.00166011355671446,0.00449358453235291,-0.00742141089992378,0.0088710928652796,-0.0175532038252822,0.0073483514189901,-0.00604765364498661,0.00794514157939095,-0.00303229396067856,0.00259736670481047,-0.0181426247083018,0.011279641385096,-0.0136044533850807,0.0157782545694131,-0.0285248906461851,0.0303695100115644
"nós",-0.0112489181594407,0.00723703428709999,-0.00755693697728866,0.0015379516095416,-0.00166011355671471,0.00449358453235259,-0.0074214108999241,0.00887109286528062,-0.017553203825283,0.0073483514189905,-0.00604765364498702,0.00794514157939185,-0.00303229396067829,0.00259736670481067,-0.0181426247083027,0.0112796413850942,-0.0136044533850822,0.0157782545694127,-0.0285248906461844,0.0303695100115641
"repeti-la",-0.0112489181594407,0.00723703428709979,-0.00755693697728876,0.0015379516095417,-0.00166011355671555,0.00449358453235243,-0.00742141089992418,0.00887109286528101,-0.017553203825283,0.00734835141899074,-0.00604765364498628,0.00794514157939186,-0.00303229396067866,0.00259736670481015,-0.0181426247083022,0.0112796413850953,-0.0136044533850814,0.0157782545694121,-0.0285248906461832,0.0303695100115645
"saibamos",-0.0112489181594407,0.00723703428710049,-0.00755693697728832,0.00153795160953979,-0.00166011355671525,0.00449358453235194,-0.00742141089992243,0.0088710928652807,-0.0175532038252846,0.00734835141899101,-0.00604765364498842,0.00794514157939277,-0.00303229396067964,0.00259736670480992,-0.0181426247083027,0.0112796413850946,-0.0136044533850802,0.0157782545694118,-0.0285248906461826,0.0303695100115622
"todo",-0.0112489181594407,0.00723703428710082,-0.00755693697728688,0.00153795160953846,-0.00166011355671471,0.00449358453235169,-0.00742141089992331,0.00887109286528265,-0.0175532038252851,0.0073483514189908,-0.00604765364498736,0.00794514157939185,-0.00303229396067897,0.00259736670480993,-0.0181426247083002,0.0112796413850943,-0.0136044533850793,0.0157782545694125,-0.0285248906461822,0.030369510011563
"vivência",-0.0112489181594407,0.00723703428709979,-0.0075569369772886,0.00153795160954073,-0.0016601135567159,0.00449358453235281,-0.00742141089992391,0.00887109286528165,-0.0175532038252836,0.00734835141899007,-0.00604765364498706,0.00794514157939163,-0.00303229396067783,0.00259736670480936,-0.0181426247083008,0.011279641385095,-0.0136044533850807,0.0157782545694125,-0.0285248906461833,0.0303695100115645
"desagradável",-0.0115717456692634,0.00741878459034177,-0.00764894636875074,0.00159376001785326,-0.00163902024974979,0.00458462898007875,-0.00761953011290131,0.00913287635347811,-0.0179875176670265,0.00750753853961419,-0.00628935895142577,0.00814790111823216,-0.00309531745549269,0.00259264096719006,-0.0186496610301091,0.0116415328997517,-0.0139778593514601,0.016201224320582,-0.0292913607773959,0.0311604347290051
