"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"prazer",-0.00725126665758525,0.0045084097087485,-0.00339104276754207,0.00135385857874852,-0.00032395882419236,0.00232684085198577,-0.00515418771118333,0.00615856599616772,-0.0113532188823613,0.00473309664453194,-0.00409318241506803,0.00561676904923699,-0.00206043215718093,0.00140959534231515,-0.0121870578986145,0.00764232449485905,-0.00912256772347177,0.0103752879417188,-0.0189276958437641,0.020340434146209,-0.017251057092186,0.0130822796148467,-0.0020126777529059,-0.0653701626012519,0.00612169908522003,0.0227335330576097,-0.0105084042375335,0.0202272982462668,0.00242226671334404,-0.0201519415599891,-0.0316805764789092,0.028112152618552,-0.0151227569271631,-0.0228720585864413,0.0247156828311081,0.0265372957748731,-0.00930815543715004,0.00462198908607577,-0.00572290573923918,0.0105177590946423,-0.0160891248956232,0.000265469488631565,5.51946636785299e-05,-0.0120973632244188,0.00242672626699403,-0.00422435920244413,0.0031519388123473,-0.00879959045598009,0.00246154049023132,-0.00427798233913966
"sombra",-0.00725126665758716,0.00450840970874806,-0.00339104276754294,0.00135385857874841,-0.000323958824192411,0.00232684085198601,-0.00515418771118331,0.00615856599616751,-0.0113532188823609,0.00473309664453188,-0.00409318241506815,0.00561676904923675,-0.00206043215718096,0.00140959534231516,-0.0121870578986142,0.00764232449485895,-0.00912256772347159,0.0103752879417187,-0.0189276958437635,0.0203404341462083,-0.0172510570921854,0.0130822796148464,-0.00201267775290602,-0.0653701626012498,0.0061216990852198,0.0227335330576087,-0.010508404237533,0.0202272982462661,0.00242226671334397,-0.0201519415599885,-0.0316805764789084,0.028112152618551,-0.0151227569271627,-0.0228720585864404,0.0247156828311071,0.0265372957748722,-0.0093081554371498,0.00462198908607584,-0.00572290573923892,0.0105177590946418,-0.0160891248956223,0.000265469488631567,5.51946636785361e-05,-0.0120973632244185,0.00242672626699412,-0.00422435920244413,0.00315193881234706,-0.00879959045598006,0.00246154049023135,-0.00427798233913972
"atrás",-0.0112489181594394,0.00723703428709851,-0.00755693697729044,0.00153795160954003,-0.00166011355671517,0.00449358453235366,-0.00742141089992482,0.00887109286528029,-0.0175532038252826,0.00734835141898943,-0.00604765364498521,0.00794514157939283,-0.00303229396068026,0.00259736670481129,-0.018142624708302,0.0112796413850937,-0.0136044533850789,0.0157782545694116,-0.0285248906461829,0.0303695100115643,-0.0260206284965968,0.0194832976594329,-0.0031113837298479,-0.0985637019200869,0.00939413502687209,0.0340866224775906,-0.0159235082638899,0.0308500722956868,0.0035993337344898,-0.0305561097208629,-0.0480405620254761,0.0424828133085269,-0.0229220491347504,-0.034451062241216,0.0373632418073242,0.0401185237678452,-0.0138672985847097,0.00686143295546572,-0.0085446661875495,0.0160536696587094,-0.0242249642367215,0.000544241818432895,0.000180481295281905,-0.018258891994032,0.00378484155018982,-0.00627378018084527,0.00471348266069918,-0.0133880715345958,0.00369941928873796,-0.00613868846244938
"corre",-0.011248918159439,0.00723703428709925,-0.00755693697729077,0.00153795160954067,-0.00166011355671532,0.00449358453235304,-0.00742141089992433,0.0088710928652818,-0.0175532038252855,0.00734835141899194,-0.00604765364498821,0.00794514157939401,-0.00303229396067851,0.00259736670480993,-0.0181426247083032,0.0112796413850941,-0.0136044533850806,0.0157782545694121,-0.0285248906461836,0.0303695100115654,-0.0260206284965983,0.0194832976594338,-0.00311138372984732,-0.0985637019200859,0.009394135026872,0.0340866224775901,-0.0159235082638893,0.0308500722956863,0.0035993337344897,-0.0305561097208629,-0.0480405620254746,0.0424828133085258,-0.0229220491347498,-0.0344510622412136,0.0373632418073244,0.040118523767845,-0.0138672985847101,0.00686143295546625,-0.00854466618754916,0.0160536696587099,-0.0242249642367212,0.000544241818432323,0.000180481295281843,-0.0182588919940305,0.00378484155019072,-0.00627378018084535,0.00471348266069915,-0.0133880715345956,0.00369941928873933,-0.00613868846244795
"dessa",-0.0112489181594406,0.00723703428709954,-0.00755693697728868,0.00153795160954046,-0.00166011355671546,0.00449358453235305,-0.00742141089992421,0.00887109286528073,-0.0175532038252839,0.00734835141899021,-0.00604765364498694,0.00794514157939299,-0.00303229396067817,0.00259736670480924,-0.018142624708302,0.0112796413850941,-0.0136044533850806,0.0157782545694124,-0.0285248906461832,0.0303695100115642,-0.026020628496597,0.0194832976594337,-0.00311138372984842,-0.0985637019200856,0.00939413502687196,0.0340866224775902,-0.0159235082638893,0.0308500722956873,0.00359933373449017,-0.030556109720863,-0.0480405620254751,0.0424828133085269,-0.0229220491347505,-0.0344510622412164,0.0373632418073246,0.0401185237678441,-0.0138672985847098,0.00686143295546667,-0.00854466618754914,0.0160536696587105,-0.0242249642367217,0.000544241818433119,0.000180481295282323,-0.0182588919940314,0.00378484155018993,-0.00627378018084566,0.00471348266069908,-0.0133880715345966,0.00369941928873871,-0.00613868846244937
"disso",-0.0112489181594406,0.00723703428710082,-0.00755693697728815,0.00153795160954205,-0.00166011355671612,0.00449358453235355,-0.00742141089992343,0.00887109286528123,-0.017553203825283,0.00734835141899023,-0.00604765364498641,0.007945141579392,-0.00303229396067829,0.00259736670481053,-0.0181426247083015,0.0112796413850956,-0.0136044533850819,0.0157782545694129,-0.0285248906461834,0.030369510011564,-0.0260206284965974,0.0194832976594327,-0.00311138372984806,-0.0985637019200845,0.00939413502687209,0.0340866224775902,-0.0159235082638899,0.0308500722956876,0.00359933373449025,-0.0305561097208641,-0.0480405620254768,0.0424828133085276,-0.0229220491347507,-0.034451062241216,0.0373632418073241,0.0401185237678441,-0.013867298584709,0.00686143295546554,-0.00854466618754854,0.0160536696587099,-0.0242249642367213,0.000544241818431945,0.000180481295282082,-0.018258891994032,0.0037848415501898,-0.0062737801808463,0.00471348266069982,-0.013388071534597,0.00369941928873994,-0.00613868846245008
"insistindo",-0.0112489181594406,0.00723703428709965,-0.00755693697728865,0.00153795160954149,-0.00166011355671451,0.00449358453235443,-0.00742141089992581,0.00887109286528094,-0.017553203825284,0.00734835141899043,-0.00604765364498638,0.0079451415793914,-0.00303229396067831,0.00259736670481061,-0.0181426247082991,0.0112796413850935,-0.0136044533850782,0.0157782545694111,-0.0285248906461817,0.0303695100115622,-0.0260206284965959,0.0194832976594338,-0.00311138372984837,-0.0985637019200881,0.00939413502687253,0.0340866224775903,-0.0159235082638894,0.030850072295688,0.00359933373449042,-0.0305561097208639,-0.0480405620254775,0.0424828133085276,-0.0229220491347502,-0.0344510622412138,0.0373632418073234,0.0401185237678445,-0.0138672985847078,0.0068614329554659,-0.00854466618754854,0.0160536696587078,-0.0242249642367212,0.000544241818434357,0.000180481295282754,-0.0182588919940306,0.00378484155018985,-0.00627378018084578,0.00471348266069858,-0.0133880715345961,0.00369941928873907,-0.0061386884624518
"maioria",-0.0112489181594407,0.00723703428710082,-0.00755693697728929,0.00153795160954156,-0.00166011355671446,0.00449358453235291,-0.00742141089992378,0.0088710928652796,-0.0175532038252822,0.0073483514189901,-0.00604765364498661,0.00794514157939095,-0.00303229396067856,0.00259736670481047,-0.0181426247083018,0.011279641385096,-0.0136044533850807,0.0157782545694131,-0.0285248906461851,0.0303695100115644,-0.0260206284965966,0.0194832976594331,-0.00311138372984841,-0.0985637019200865,0.00939413502687263,0.0340866224775901,-0.0159235082638887,0.030850072295687,0.00359933373449097,-0.0305561097208637,-0.048040562025476,0.0424828133085263,-0.022922049134749,-0.0344510622412145,0.0373632418073229,0.0401185237678446,-0.013867298584709,0.00686143295546699,-0.00854466618754912,0.0160536696587088,-0.0242249642367238,0.000544241818432267,0.000180481295282331,-0.0182588919940321,0.00378484155019037,-0.00627378018084589,0.00471348266070032,-0.0133880715345976,0.00369941928874021,-0.0061386884624503
"nós",-0.0112489181594407,0.00723703428709999,-0.00755693697728866,0.0015379516095416,-0.00166011355671471,0.00449358453235259,-0.0074214108999241,0.00887109286528062,-0.017553203825283,0.0073483514189905,-0.00604765364498702,0.00794514157939185,-0.00303229396067829,0.00259736670481067,-0.0181426247083027,0.0112796413850942,-0.0136044533850822,0.0157782545694127,-0.0285248906461844,0.0303695100115641,-0.0260206284965965,0.0194832976594321,-0.00311138372984791,-0.0985637019200855,0.00939413502687254,0.0340866224775894,-0.0159235082638892,0.0308500722956882,0.00359933373448924,-0.0305561097208645,-0.0480405620254758,0.0424828133085269,-0.0229220491347502,-0.0344510622412157,0.0373632418073238,0.040118523767844,-0.0138672985847083,0.00686143295546655,-0.00854466618754925,0.0160536696587111,-0.0242249642367225,0.000544241818433382,0.000180481295283606,-0.0182588919940319,0.00378484155018959,-0.0062737801808463,0.00471348266069956,-0.0133880715345969,0.00369941928874003,-0.00613868846244847
"repeti-la",-0.0112489181594407,0.00723703428709979,-0.00755693697728876,0.0015379516095417,-0.00166011355671555,0.00449358453235243,-0.00742141089992418,0.00887109286528101,-0.017553203825283,0.00734835141899074,-0.00604765364498628,0.00794514157939186,-0.00303229396067866,0.00259736670481015,-0.0181426247083022,0.0112796413850953,-0.0136044533850814,0.0157782545694121,-0.0285248906461832,0.0303695100115645,-0.0260206284965963,0.0194832976594326,-0.00311138372984766,-0.0985637019200858,0.00939413502687304,0.0340866224775886,-0.0159235082638887,0.0308500722956881,0.00359933373448972,-0.0305561097208646,-0.0480405620254747,0.0424828133085278,-0.02292204913475,-0.034451062241215,0.0373632418073241,0.0401185237678435,-0.0138672985847101,0.00686143295546674,-0.00854466618754908,0.0160536696587107,-0.0242249642367221,0.0005442418184321,0.000180481295282225,-0.0182588919940316,0.0037848415501901,-0.00627378018084618,0.00471348266069894,-0.0133880715345963,0.00369941928873949,-0.00613868846244925
