HEADER,através,dos,ramos,a,vinda,de,que,nunca,vem,lá,longe,na,floresta,e,sua,voz,chamando,assim,choram,os,deuses
através,0.0,0.603964,0.81771094,0.9607291,0.68467,0.8724497,0.7052331,0.8347204,0.70033777,0.98160166,0.67483354,0.88852394,0.8101488,0.9669694,0.60402167,0.6957497,0.7157326,0.64461076,0.9317669,0.9721192,0.83520776
dos,0.603964,0.0,0.66821957,0.96544087,0.75514644,0.82442683,0.6729628,0.7388794,0.76886165,0.9730675,0.6791577,0.89365774,0.8371253,0.881451,0.77777404,0.8174299,0.7911734,0.77055836,0.8653892,0.647027,0.6328707
ramos,0.81771094,0.66821957,0.0,1.0355908,0.92615974,0.88840854,0.8523239,0.9032153,0.90968615,1.0763454,0.8527315,1.0057466,0.79074156,0.9345234,0.9139442,0.92598057,0.88903964,0.8324367,0.8845083,0.8232883,0.77067953
a,0.9607291,0.96544087,1.0355908,0.0,0.8560855,0.63865185,0.8311565,1.0548354,0.91670597,0.7011095,1.0112219,0.40576392,0.9335251,0.5790774,0.5902846,0.85628724,0.9021034,0.9570204,0.94350535,0.4899661,1.0061582
vinda,0.68467,0.75514644,0.92615974,0.8560855,0.0,1.0536549,0.715442,0.83449477,0.6240479,0.8835121,0.7018991,0.922511,0.84955573,1.0459552,0.6122117,0.7233233,0.79024,0.68070984,0.9573221,1.0405009,0.8786627
de,0.8724497,0.82442683,0.88840854,0.63865185,1.0536549,0.0,0.96743256,1.0897293,1.0336342,0.8397374,1.0183585,0.7034007,0.99558955,0.57587355,0.8428075,0.9403893,1.018279,1.0960834,1.0032922,0.73029786,0.9761664
que,0.7052331,0.6729628,0.8523239,0.8311565,0.715442,0.96743256,0.0,0.4026723,0.6914892,0.8039327,0.67672276,0.9313574,0.82401264,0.86900294,0.6540548,0.768442,0.7552382,0.4164607,0.7563721,0.8186278,0.77505916
nunca,0.8347204,0.7388794,0.9032153,1.0548354,0.83449477,1.0897293,0.4026723,0.0,0.7566452,0.86424667,0.5960368,1.002465,0.8639207,0.9259581,0.73512805,0.84174705,0.88398546,0.49648947,0.765263,0.962876,0.8355716
vem,0.70033777,0.76886165,0.90968615,0.91670597,0.6240479,1.0336342,0.6914892,0.7566452,0.0,0.73014474,0.64908504,0.90733033,0.86324847,0.9653476,0.7977027,0.7867142,0.59242797,0.63096905,0.7885592,1.017764,0.9265603
lá,0.98160166,0.9730675,1.0763454,0.7011095,0.8835121,0.8397374,0.8039327,0.86424667,0.73014474,0.0,0.76929456,0.6232834,0.9331949,0.6883496,0.99305725,1.0217272,0.9207985,0.8632123,0.90519404,0.7045437,0.9646328
longe,0.67483354,0.6791577,0.8527315,1.0112219,0.7018991,1.0183585,0.67672276,0.5960368,0.64908504,0.76929456,0.0,0.96407753,0.7357763,1.0161235,0.720131,0.76657385,0.7101377,0.58024013,0.80244195,1.0062647,0.7998211
na,0.88852394,0.89365774,1.0057466,0.40576392,0.922511,0.7034007,0.9313574,1.002465,0.90733033,0.6232834,0.96407753,0.0,0.85127795,0.6151879,0.6512227,0.90029323,0.9854067,0.9922997,0.92478466,0.72326875,1.0126988
floresta,0.8101488,0.8371253,0.79074156,0.9335251,0.84955573,0.99558955,0.82401264,0.8639207,0.86324847,0.9331949,0.7357763,0.85127795,0.0,0.99967265,0.73391956,0.7520817,0.8721883,0.8244957,0.86985385,1.0111336,0.80414385
e,0.9669694,0.881451,0.9345234,0.5790774,1.0459552,0.57587355,0.86900294,0.9259581,0.9653476,0.6883496,1.0161235,0.6151879,0.99967265,0.0,0.8915534,0.9393095,0.9771039,0.9304066,0.87018526,0.5375492,0.90126616
sua,0.60402167,0.77777404,0.9139442,0.5902846,0.6122117,0.8428075,0.6540548,0.73512805,0.7977027,0.99305725,0.720131,0.6512227,0.73391956,0.8915534,0.0,0.5943117,0.73482096,0.6928929,0.9099332,0.94321,0.8820833
voz,0.6957497,0.8174299,0.92598057,0.85628724,0.7233233,0.9403893,0.768442,0.84174705,0.7867142,1.0217272,0.76657385,0.90029323,0.7520817,0.9393095,0.5943117,0.0,0.6354387,0.7558775,0.8408449,1.0127978,0.89137274
chamando,0.7157326,0.7911734,0.88903964,0.9021034,0.79024,1.018279,0.7552382,0.88398546,0.59242797,0.9207985,0.7101377,0.9854067,0.8721883,0.9771039,0.73482096,0.6354387,0.0,0.63683414,0.8348018,0.92475164,0.81792307
assim,0.64461076,0.77055836,0.8324367,0.9570204,0.68070984,1.0960834,0.4164607,0.49648947,0.63096905,0.8632123,0.58024013,0.9922997,0.8244957,0.9304066,0.6928929,0.7558775,0.63683414,0.0,0.8376948,0.94825697,0.7576618
choram,0.9317669,0.8653892,0.8845083,0.94350535,0.9573221,1.0032922,0.7563721,0.765263,0.7885592,0.90519404,0.80244195,0.92478466,0.86985385,0.87018526,0.9099332,0.8408449,0.8348018,0.8376948,0.0,0.8505901,0.7977597
os,0.9721192,0.647027,0.8232883,0.4899661,1.0405009,0.73029786,0.8186278,0.962876,1.017764,0.7045437,1.0062647,0.72326875,1.0111336,0.5375492,0.94321,1.0127978,0.92475164,0.94825697,0.8505901,0.0,0.805537
deuses,0.83520776,0.6328707,0.77067953,1.0061582,0.8786627,0.9761664,0.77505916,0.8355716,0.9265603,0.9646328,0.7998211,1.0126988,0.80414385,0.90126616,0.8820833,0.89137274,0.81792307,0.7576618,0.7977597,0.805537,0.0
